Üniversite Adı,Üniversite Türü,Bölüm,İH 2023 Sayı,İH 2023 Oran,İH 2024 Sayı,İH 2024 Oran,İH 2025 Sayı,İH 2025 Oran,URL
"ESKİŞEHİR TEKNİK ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","UÇAK GÖVDE VE MOTOR BAKIMI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=112490449"
"KOCAELİ ÜNİVERSİTESİ (KOCAELİ)","Devlet","UÇAK GÖVDE VE MOTOR BAKIMI","5","%12,2","4","% 8,5","5","% 10,6","https://yokatlas.yok.gov.tr/lisans.php?y=106990618"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","UÇAK GÖVDE VE MOTOR BAKIMI (YÜKSEKOKUL)","4","%9,8","4","% 9,8","3","% 7,3","https://yokatlas.yok.gov.tr/lisans.php?y=108990438"
"ATILIM ÜNİVERSİTESİ (ANKARA)","Vakıf","UÇAK GÖVDE VE MOTOR BAKIMI (YÜKSEKOKUL)","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200290153"
"ATILIM ÜNİVERSİTESİ (ANKARA)","Vakıf","UÇAK GÖVDE VE MOTOR BAKIMI (YÜKSEKOKUL)","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200290257"
"KAPADOKYA ÜNİVERSİTESİ (NEVŞEHİR)","Vakıf","UÇAK GÖVDE VE MOTOR BAKIMI (YÜKSEKOKUL)","1","%12,5","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=203851900"
"KAPADOKYA ÜNİVERSİTESİ (NEVŞEHİR)","Vakıf","UÇAK GÖVDE VE MOTOR BAKIMI (YÜKSEKOKUL)","Bulunamadı","Bulunamadı","2","% 3,1","3","% 4,4","https://yokatlas.yok.gov.tr/lisans.php?y=203851901"
"ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Devlet","UÇAK MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103590276"
"ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Devlet","UÇAK MÜHENDİSLİĞİ","5","%8,1","3","% 4,5","5","% 7,5","https://yokatlas.yok.gov.tr/lisans.php?y=103511109"
"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","UÇAK MÜHENDİSLİĞİ","2","%3,2","5","% 7,5","5","% 7,5","https://yokatlas.yok.gov.tr/lisans.php?y=103890229"
"ESKİŞEHİR TEKNİK ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","UÇAK MÜHENDİSLİĞİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=112490524"
"GEBZE TEKNİK ÜNİVERSİTESİ (KOCAELİ)","Devlet","UÇAK MÜHENDİSLİĞİ","9","%14,5","5","% 7,5","10","% 14,9","https://yokatlas.yok.gov.tr/lisans.php?y=104410210"
"GEBZE TEKNİK ÜNİVERSİTESİ (KOCAELİ)","Devlet","UÇAK MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=104410224"
"İSTANBUL TEKNİK ÜNİVERSİTESİ (İSTANBUL)","Devlet","UÇAK MÜHENDİSLİĞİ","5","%9,6","3","% 5,8","7","% 13,5","https://yokatlas.yok.gov.tr/lisans.php?y=105510538"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA)","Devlet","UÇAK MÜHENDİSLİĞİ","7","%9,7","11","% 14,3","15","% 19,5","https://yokatlas.yok.gov.tr/lisans.php?y=107010422"
"SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (SİVAS)","Devlet","UÇAK MÜHENDİSLİĞİ","3","%9,4","4","% 12,9","2","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=111900115"
"İSTANBUL GELİŞİM ÜNİVERSİTESİ (İSTANBUL)","Vakıf","UÇAK MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","1","% 11,1","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202790516"
"İSTANBUL GELİŞİM ÜNİVERSİTESİ (İSTANBUL)","Vakıf","UÇAK MÜHENDİSLİĞİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=202790356"
"İSTANBUL GELİŞİM ÜNİVERSİTESİ (İSTANBUL)","Vakıf","UÇAK MÜHENDİSLİĞİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=202790963"
"İSTANBUL GELİŞİM ÜNİVERSİTESİ (İSTANBUL)","Vakıf","UÇAK MÜHENDİSLİĞİ","2","%20,0","Bulunamadı","Bulunamadı","1","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=202790355"
"TÜRK HAVA KURUMU ÜNİVERSİTESİ (ANKARA)","Vakıf","UÇAK MÜHENDİSLİĞİ","1","%1,9","1","% 3,3","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=205750148"
"TÜRK HAVA KURUMU ÜNİVERSİTESİ (ANKARA)","Vakıf","UÇAK MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","1","% 9,1","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=205710553"
"TÜRK HAVA KURUMU ÜNİVERSİTESİ (ANKARA)","Vakıf","UÇAK MÜHENDİSLİĞİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=205710562"
"GİRNE ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","UÇAK MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300710179"
"GİRNE ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","UÇAK MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300710188"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","UKRAYNA DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101190822"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","UKRAYNA DİLİ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","2","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=105611623"
"BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200590192"
"BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","3","% 37,5","https://yokatlas.yok.gov.tr/lisans.php?y=200590193"
"BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200590194"
"İSTANBUL BİLGİ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202510307"
"İSTANBUL BİLGİ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202510607"
"ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=204811014"
"ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=204811023"
"ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204890188"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 16,7","https://yokatlas.yok.gov.tr/lisans.php?y=206190456"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206190463"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=206190638"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=206190645"
"BAŞKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200690544"
"BAŞKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200690545"
"BAŞKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=200690934"
"ÇAĞ ÜNİVERSİTESİ (MERSİN)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","1","% 16,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=201010148"
"ÇAĞ ÜNİVERSİTESİ (MERSİN)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","1","% 2,9","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=201050723"
"İSTANBUL OKAN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204790948"
"İSTANBUL OKAN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ULUSLARARASI FİNANS VE BANKACILIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204790955"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA)","KKTC","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300190433"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA)","KKTC","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300190474"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KIBRIS)","KKTC","ULUSLARARASI FİNANS VE BANKACILIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=300190748"
"ULUSLARARASI FİNAL ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=301390059"
"ULUSLARARASI FİNAL ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ULUSLARARASI FİNANS VE BANKACILIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=301390068"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI GİRİŞİMCİLİK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=110910266"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI GİRİŞİMCİLİK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 14,3","https://yokatlas.yok.gov.tr/lisans.php?y=110910273"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI GİRİŞİMCİLİK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=110910280"
"TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA)","Vakıf","ULUSLARARASI GİRİŞİMCİLİK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=205410371"
"TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA)","Vakıf","ULUSLARARASI GİRİŞİMCİLİK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=205410389"
"TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA)","Vakıf","ULUSLARARASI GİRİŞİMCİLİK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=205410398"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ULUSLARARASI GİRİŞİMCİLİK (AÇIKÖĞRETİM)","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=105690921"
"ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (ADANA)","Devlet","ULUSLARARASI İLİŞKİLER","5","%6,9","1","% 1,3","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=110410468"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","ULUSLARARASI İLİŞKİLER","3","%4,2","5","% 6,0","3","% 6,1","https://yokatlas.yok.gov.tr/lisans.php?y=100710199"
"AKSARAY ÜNİVERSİTESİ (AKSARAY)","Devlet","ULUSLARARASI İLİŞKİLER","5","%11,9","2","% 3,8","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=100810498"
"ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","6","%6,3","8","% 7,9","3","% 4,7","https://yokatlas.yok.gov.tr/lisans.php?y=111710484"
"ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","3","%4,8","2","% 2,9","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=111712117"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","5","%8,1","12","% 17,4","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=110910023"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","3","%4,8","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101190766"
"ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","2","%3,2","8","% 10,8","8","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=110010086"
"ARDAHAN ÜNİVERSİTESİ (ARDAHAN)","Devlet","ULUSLARARASI İLİŞKİLER","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101290062"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ULUSLARARASI İLİŞKİLER","19","%18,5","18","% 17,5","9","% 14,5","https://yokatlas.yok.gov.tr/lisans.php?y=101490468"
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Devlet","ULUSLARARASI İLİŞKİLER","4","%4,8","2","% 2,2","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100310264"
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Devlet","ULUSLARARASI İLİŞKİLER","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=100390418"
"BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ (BALIKESİR)","Devlet","ULUSLARARASI İLİŞKİLER","1","%1,6","1","% 1,4","4","% 7,5","https://yokatlas.yok.gov.tr/lisans.php?y=110610089"
"BATMAN ÜNİVERSİTESİ (BATMAN)","Devlet","ULUSLARARASI İLİŞKİLER","1","%3,1","3","% 7,1","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101790100"
"BİTLİS EREN ÜNİVERSİTESİ (BİTLİS)","Devlet","ULUSLARARASI İLİŞKİLER","5","%11,9","9","% 16,7","2","% 4,8","https://yokatlas.yok.gov.tr/lisans.php?y=102110181"
"BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ (BOLU)","Devlet","ULUSLARARASI İLİŞKİLER","12","%16,4","9","% 10,8","4","% 7,7","https://yokatlas.yok.gov.tr/lisans.php?y=100110221"
"BURSA TEKNİK ÜNİVERSİTESİ (BURSA)","Devlet","ULUSLARARASI İLİŞKİLER","1","%1,6","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=102410220"
"BURSA ULUDAĞ ÜNİVERSİTESİ (BURSA)","Devlet","ULUSLARARASI İLİŞKİLER","7","%6,7","6","% 5,8","5","% 8,8","https://yokatlas.yok.gov.tr/lisans.php?y=109710287"
"BURSA ULUDAĞ ÜNİVERSİTESİ (BURSA)","Devlet","ULUSLARARASI İLİŞKİLER","5","%7,9","9","% 14,5","9","% 17,3","https://yokatlas.yok.gov.tr/lisans.php?y=109710727"
"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ (ÇANAKKALE)","Devlet","ULUSLARARASI İLİŞKİLER","2","%4,9","2","% 3,7","1","% 2,4","https://yokatlas.yok.gov.tr/lisans.php?y=102790175"
"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ (ÇANAKKALE)","Devlet","ULUSLARARASI İLİŞKİLER","4","%4,3","4","% 4,1","4","% 8,5","https://yokatlas.yok.gov.tr/lisans.php?y=102790315"
"ÇANKIRI KARATEKİN ÜNİVERSİTESİ (ÇANKIRI)","Devlet","ULUSLARARASI İLİŞKİLER","5","%10,4","12","% 20,7","4","% 9,8","https://yokatlas.yok.gov.tr/lisans.php?y=102810095"
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","ULUSLARARASI İLİŞKİLER","6","%9,7","9","% 12,5","7","% 14,6","https://yokatlas.yok.gov.tr/lisans.php?y=103310573"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","ULUSLARARASI İLİŞKİLER","Bulunamadı","Bulunamadı","3","% 3,1","1","% 1,9","https://yokatlas.yok.gov.tr/lisans.php?y=103410272"
"ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Devlet","ULUSLARARASI İLİŞKİLER","7","%8,4","11","% 12,5","7","% 17,1","https://yokatlas.yok.gov.tr/lisans.php?y=103590455"
"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","ULUSLARARASI İLİŞKİLER","1","%1,6","2","% 2,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103810162"
"GALATASARAY ÜNİVERSİTESİ (İSTANBUL)","Devlet","ULUSLARARASI İLİŞKİLER","8","%25,0","5","% 13,5","6","% 18,8","https://yokatlas.yok.gov.tr/lisans.php?y=104010097"
"GİRESUN ÜNİVERSİTESİ (GİRESUN)","Devlet","ULUSLARARASI İLİŞKİLER","4","%7,6","5","% 7,8","4","% 8,2","https://yokatlas.yok.gov.tr/lisans.php?y=104510268"
"GÜMÜŞHANE ÜNİVERSİTESİ (GÜMÜŞHANE)","Devlet","ULUSLARARASI İLİŞKİLER","1","%3,1","4","% 9,5","2","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=104790034"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","3","%4,2","4","% 5,2","3","% 4,2","https://yokatlas.yok.gov.tr/lisans.php?y=104810486"
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ (HATAY)","Devlet","ULUSLARARASI İLİŞKİLER","1","%2,5","2","% 4,3","3","% 8,8","https://yokatlas.yok.gov.tr/lisans.php?y=107790274"
"HİTİT ÜNİVERSİTESİ (ÇORUM)","Devlet","ULUSLARARASI İLİŞKİLER","6","%11,5","7","% 11,3","5","% 11,9","https://yokatlas.yok.gov.tr/lisans.php?y=105190093"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ (İSTANBUL)","Devlet","ULUSLARARASI İLİŞKİLER","10","%15,6","15","% 21,7","5","% 11,9","https://yokatlas.yok.gov.tr/lisans.php?y=105410045"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ (İSTANBUL)","Devlet","ULUSLARARASI İLİŞKİLER","6","%14,6","13","% 20,3","3","% 7,1","https://yokatlas.yok.gov.tr/lisans.php?y=105490102"
"İZMİR DEMOKRASİ ÜNİVERSİTESİ (İZMİR)","Devlet","ULUSLARARASI İLİŞKİLER","2","%2,8","1","% 1,3","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=111110076"
"İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ (İZMİR)","Devlet","ULUSLARARASI İLİŞKİLER","5","%6,9","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=105761228"
"KARABÜK ÜNİVERSİTESİ (KARABÜK)","Devlet","ULUSLARARASI İLİŞKİLER","4","%6,5","2","% 2,8","7","% 13,0","https://yokatlas.yok.gov.tr/lisans.php?y=106110512"
"KARABÜK ÜNİVERSİTESİ (KARABÜK)","Devlet","ULUSLARARASI İLİŞKİLER","6","%11,3","5","% 8,8","5","% 10,6","https://yokatlas.yok.gov.tr/lisans.php?y=106190068"
"KARADENİZ TEKNİK ÜNİVERSİTESİ (TRABZON)","Devlet","ULUSLARARASI İLİŞKİLER","13","%11,5","10","% 8,5","10","% 16,1","https://yokatlas.yok.gov.tr/lisans.php?y=106210308"
"KARADENİZ TEKNİK ÜNİVERSİTESİ (TRABZON)","Devlet","ULUSLARARASI İLİŞKİLER","6","%9,7","12","% 17,9","9","% 19,1","https://yokatlas.yok.gov.tr/lisans.php?y=106290130"
"KASTAMONU ÜNİVERSİTESİ (KASTAMONU)","Devlet","ULUSLARARASI İLİŞKİLER","6","%11,3","5","% 8,1","5","% 10,6","https://yokatlas.yok.gov.tr/lisans.php?y=106410484"
"KIRIKKALE ÜNİVERSİTESİ (KIRIKKALE)","Devlet","ULUSLARARASI İLİŞKİLER","3","%3,6","Bulunamadı","Bulunamadı","5","% 10,6","https://yokatlas.yok.gov.tr/lisans.php?y=106610182"
"KIRKLARELİ ÜNİVERSİTESİ (KIRKLARELİ)","Devlet","ULUSLARARASI İLİŞKİLER","1","%1,6","3","% 4,4","4","% 6,9","https://yokatlas.yok.gov.tr/lisans.php?y=106710296"
"KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ (KIRŞEHİR)","Devlet","ULUSLARARASI İLİŞKİLER","3","%5,6","3","% 4,7","11","% 22,9","https://yokatlas.yok.gov.tr/lisans.php?y=100610216"
"KOCAELİ ÜNİVERSİTESİ (KOCAELİ)","Devlet","ULUSLARARASI İLİŞKİLER","6","%6,5","8","% 7,9","4","% 5,9","https://yokatlas.yok.gov.tr/lisans.php?y=106990729"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","ULUSLARARASI İLİŞKİLER","2","%2,7","6","% 7,8","2","% 3,8","https://yokatlas.yok.gov.tr/lisans.php?y=107211075"
"MERSİN ÜNİVERSİTESİ (MERSİN)","Devlet","ULUSLARARASI İLİŞKİLER","Bulunamadı","Bulunamadı","1","% 1,4","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107410754"
"NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ (NEVŞEHİR)","Devlet","ULUSLARARASI İLİŞKİLER","9","%12,5","6","% 7,7","5","% 9,6","https://yokatlas.yok.gov.tr/lisans.php?y=108010473"
"NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ (NEVŞEHİR)","Devlet","ULUSLARARASI İLİŞKİLER","4","%9,8","3","% 4,8","2","% 4,9","https://yokatlas.yok.gov.tr/lisans.php?y=108090094"
"ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA)","Devlet","ULUSLARARASI İLİŞKİLER","1","%1,4","2","% 2,6","6","% 9,0","https://yokatlas.yok.gov.tr/lisans.php?y=108410275"
"OSMANİYE KORKUT ATA ÜNİVERSİTESİ (OSMANİYE)","Devlet","ULUSLARARASI İLİŞKİLER","8","%11,9","2","% 3,0","3","% 7,3","https://yokatlas.yok.gov.tr/lisans.php?y=108570491"
"RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ (RİZE)","Devlet","ULUSLARARASI İLİŞKİLER","10","%15,6","16","% 23,5","7","% 16,7","https://yokatlas.yok.gov.tr/lisans.php?y=108790023"
"RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ (RİZE)","Devlet","ULUSLARARASI İLİŞKİLER","3","%7,3","8","% 12,9","7","% 13,2","https://yokatlas.yok.gov.tr/lisans.php?y=108790090"
